Sardine Chips,Rich Table 
Mac and Cheese,Citizen's Band
Chicken Wings,San Tung
Carnitas Taco,La Taqueria
Chicago Dog,Da Beef
Corned Beef Reuben on rye pan loaf,Bar Tartine's Sandwich Shop 
Princess Cake,Schubert's Bakery
Mandilli al pesto,Farina
Hash brown sandwich,Art's Cafe
Gateau Basque,Piperade
Jewish style artichokes,Locanda
Stuffed falafel,Old Jerusalem
Xiao long bao,Yank Sing
Preserved lemon 6:10,Coi
Sugar Egg Puffs,Shanghai Dumpling King
Hummus and house-made pita,Terzo
Pizza Margherita,Una Pizza Napoletana
Seasonal sformato,Cotogna
Rebel Within,Craftsman & Wolves
Angolotti dal plin,Perbacco
Big Daddy ramen bowl,Hapa Ramen
Quiche,Cassava Bakery and Cafe
Ahmohk (curry fish mousse),Angkor Borei
Banana cream tart,Tartine Bakery
Sloppy bun with an egg,Bun Mee
"Meatball, kale, and fregola soup",Claudine 
Bix Club burger,Bix
Roasted chicken and bread salad,Zuni Cafe
Amatriciana pizza,Ragazza
Pupusas,Balompie Cafe
Prime Rib,House of Prime Rib
Chicken katsu and tofu buns,Izakaya Yuzuki
The Brass Monkey,Little Star Pizza
Parisian empanada,El Sur truck
Salted-caramel ice cream,Bi-Rice Creamery
Garlic pretzels,Absinthe Brasserie & Bar
Pasta tasting menu,SPQR
Pan-seared chicken livers,Serpentine
Egg custard tart,Golden Gate Bakery
Goat taco,El Norteno taco truck
Angry Korean wings,Wings Wings
Beef and cheese piroshka,Anda Piroshki 
Nojo sundae,Nojo
Complete crepe,Galette 88
Duck larb,Lers Ros Thai
Blue Bottle Vietnamese coffee ice cream,Humphry Slocombe
Chicken wings,Aziza
Seafood chowder,Bar Crudo
Banana split,The Ice Cream Bar
"Rosemary, fiore sardo, and pine nut pizza",Pizzetta 211
Pho ga,Turtle Tower
Caldo tlalpeno,Nopalito
Katsiki youvetsi,Kokkari
Almond croissant,Thorough Bread & Pastry
A dozen Sweetwater oysters,Hog Island Oyster Co. 
Fried plantain and black bean burrito,The Little Chihuahua
Mission Burger,Mission Bowling Club
Pork shoulder fried rice,Sai Jai Thai
Fried Chicken Yum Yum,4505 Meats
Lamb tacos,El Huarache Loco
The Crankshaft tuna melt,Machine Coffee and Deli
Peking Duck,Hong Kong Lounge
Chilaquiles Veronica,San Jalisco
Manti,Troya Fillmore
Renzo special,Molinari Delicatessen
Vada pav,Dosa
Meatloaf,The Blue Plate
Foccacia,Liguria Bakery
Omakase,ICHI
Dogpatch Millionaire,Kitchenette
Green onion buns,New Hollywood Bakery
Sea urchin dish,Commonwealth
The Boca,Deli Board
Lobster xiao long bao,Benu
Super carne asada burrito,El Farolito
Faux gras ridged pasta,Acquerello
Fried chicken,Foreign Cinema
Jerk-spiced duck hearts,Alembic
Biscuits,Brenda's French Soul Food
Matzo ball soup,Wise Sons Delicatessen
Pot Pie,Comstock Saloon
Ikura,Ino Sushi
Spicy miso ramen,Ramen Underground
New York-style cheese slice,Tony's Slice House
Pomme d'amour,Knead Patisserie
Glazed roasted squab,Bodega Bistro
Faith's warm ham and cheese toast,Town Hall
Beggar's chicken,Betelnut 
Beef tongue,Namu Gaji
"Warm bread, artichoke, and crescenza salad",Jardiniere
Cumin lamb,Spices! II
Crispy potatoes,Plow
Bun rieu,Soup Junkie
Whole wheat flour carrot cake,Farallon
Deviled eggs,Park Tavern
St. Honore cake,Dianda's Italian American Pastry
Lamb shawerma,Truly Mediterranean
Banh mi,Irving Cafe & Deli
California state bird,State Bird Provisions
Cracked Dungeness crab,Swan Oyster Depot
